Bill #,St,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
HB 3768,TX,Relating to the formation...,Relating to the formation of decentralized unincorporated associations and the use of distributed ledger or blockchain technology for certain business purposes; authorizing a fee.,Mar 07 2023,"Placed On Local, Consent, And Res. Calendar",May 12 2023,https://openstates.org/tx/bills/88/HB3768/,Donna Howard,,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB03768H.HTM,bf948bb6cc2d71fb0bb94c8422aa6d0e19f8d2ae
HB 1666,TX,Relating to the commingli...,Relating to the commingling of funds by digital asset service providers; providing an administrative penalty.,Jan 26 2023,Reported Favorably As Substituted,May 10 2023,https://openstates.org/tx/bills/88/HB1666/,Tan Parker,David Cook; Penny Morales Shaw,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB01666S.HTM,ccc412ab25685261f0714981585c3a5c38805ff1
HB 5067,TX,Relating to a study by th...,Relating to a study by the General Land Office on the establishment and implementation by the General Land Office of a distributed ledger-based title registry pilot program.,Mar 10 2023,Transferred To Calendars Committee,May 10 2023,https://openstates.org/tx/bills/88/HB5067/,Salman Bhojani,,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB05067H.HTM,f543f06b1a38bee649fd3411e26bdde762efe682
SB 185,LA,COMMERCIAL REGULATIONS: P...,COMMERCIAL REGULATIONS: Provides relative to the licensing and regulation of virtual businesses. (8/1/23) (RE NO IMPACT   See Note),Mar 31 2023,"Read By Title, Under The Rules, Referred To The Committee On Commerce.",May 10 2023,https://openstates.org/la/bills/2023/SB185/,Mike Reese,,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1313501,7d9a9ce9298b29e23b4e50e81e739ac796ae09c6
SB 633,PA,An Act establishing the R...,"An Act establishing the Regulatory Sandbox Program, the Regulatory Relief Office and an advisory committee; and providing for their powers and duties.",Apr 24 2023,Re-Referred To Appropriations,May 09 2023,https://openstates.org/pa/bills/2023-2024/SB633/,Jarrett Coleman,Kristin Phillips-Hill; Patrick J. Stefano; Michele Brooks,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=S&billTyp=B&billNbr=0633&pn=0629,107b241ac3a0afc1ec6f989a97ae5f4fd693c5ad
RC 916,PR,Para ordenar a la Comisió...,"Para ordenar a la Comisión de Gobierno de la Cámara de Representantes del Estado Libre Asociado de Puerto Rico, realizar una investigación sobre los efectos, positivos y negativos, que podría tener la implementación de tokens como método de intercambio por acciones, comportamientos o aportaciones de los ciudadanos a cambio de servicios o beneficios de parte del gobierno, creando una relación más estrecha, confiable y transparente, de mutuo beneficio, entre los ciudadanos y el gobierno.",Jan 26 2023,Texto De Aprobación Final En Cámara,May 09 2023,https://openstates.org/pr/bills/2021-2024/RC916/,Jesús Manuel Ortiz González,,https://sutra.oslpr.org/osl/SUTRA/anejos/143467/RC0916-entirillado.docx,886e13dc630264d2928b349281e7de17a76ad022
SB 227,LA,TAX EXEMPTIONS: Provides ...,TAX EXEMPTIONS: Provides for state and local sales and use taxes on digital art sold in a cultural product district. (gov sig) (EG DECREASE GF RV See Note),Apr 18 2023,"Read By Title, Under The Rules, Referred To The Committee On Ways And Means.",May 09 2023,https://openstates.org/la/bills/2023/SB227/,Royce Duplessis,,https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1313085,9e6e73da84da6ce3e36c142b97f2b8a460e17c6b
HB 1600,OK,Digital asset mining; sal...,Digital asset mining; sales tax exemption; effective date.,Feb 06 2023,"Sa's Rejected, Conference Requested, Conferees To Be Named Later",May 08 2023,https://openstates.org/ok/bills/2023/HB1600/,John Michael Montgomery,,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24 COMMITTEE AMENDMENTS/House/HB1600 FULLPCS1 RYAN MARTINEZ-MJ.PDF,4a1adf7bc5050e8eed5cbd7c47b47ab2c19605e8
SB 711,CA,Community colleges: block...,Community colleges: blockchain industry report.,Feb 16 2023,May 8 Hearing: Placed On Appr Suspense File.,May 08 2023,https://openstates.org/ca/bills/20232024/SB711/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202320240SB711&version=20230SB71197AMD,ea368fab5d93750e8ad4a4530126b015013c1ff4
SB 178,MT,Generally revise cryptocu...,Generally revise cryptocurrency laws,Nov 13 2022,Chapter Number Assigned,May 05 2023,https://openstates.org/mt/bills/2023/SB178/,Daniel Zolnikov,,https://leg.mt.gov/bills/2023/SB0199//SB0178_X.pdf,25fba560f1d9153e476a0a8a6c4c72776766bf51
SB 1390,FL,Universal Regulatory Sand...,Universal Regulatory Sandbox,Mar 01 2023,"Died In Appropriations Committee On Transportation, Tourism, And Economic Development",May 05 2023,https://openstates.org/fl/bills/2023/SB1390/,Jonathan Martin,,https://flsenate.gov/Session/Bill/2023/1390/BillText/Filed/HTML,2666f097ae618e3a8ec19017b34785c2dba1dab6
HB 1287,FL,Universal Regulatory Sand...,Universal Regulatory Sandbox,Mar 01 2023,Died In Regulatory Reform & Economic Development Subcommittee,May 05 2023,https://openstates.org/fl/bills/2023/HB1287/,Mike Giallombardo,,https://flsenate.gov/Session/Bill/2023/1287/BillText/Filed/PDF,3fcd511a4fabff3dd9276b55655a78aae64072f2
HF 618,IA,A bill for an act relatin...,"A bill for an act relating to commercial transactions, including control and transmission of electronic records and digital assets.",Mar 03 2023,Rereferred To Judiciary.,May 04 2023,https://openstates.org/ia/bills/2023-2024/HF618/,COMMITTEE ON JUDICIARY,,https://www.legis.iowa.gov/docs/publications/AMDI/90/H1235.pdf,883e336b1561caaab71e5410ca1acd46d735f537
S 1891,NY,Establishes the New York ...,Establishes the New York state cryptocurrency and blockchain study task force,Jan 17 2023,Advanced To Third Reading,May 01 2023,https://openstates.org/ny/bills/2023-2024/S1891/,James Sanders Jr.,Joseph P. Addabbo Jr; Leroy Comrie; Jeremy A. Cooney; Pete Harckham; Rachel May; Zellnor Myrie; Jessica Scarcella-Spanton; Luis R. Sepúlveda,http://assembly.state.ny.us/leg/?sh=printbill&bn=S1891&term=2023&Text=Y,7a0380b28fa46277127d246c3d16c5dbac7fd5c2
LD 1070,ME,An Act To Increase Ballot...,An Act To Increase Ballot Transparency With Blockchain Technology,Mar 09 2023,Voted - Divided Report,Apr 28 2023,https://openstates.org/me/bills/131/LD1070/,Eric Brakey,David BOYER,http://www.mainelegislature.org/legis/bills/getPDF.asp?paper=SP0439&item=1&snum=131,71893111c98ae37555157cbe303fc992902f3e05
SB 696,RI,AN ACT RELATING TO FINANC...,"AN ACT RELATING TO FINANCIAL INSTITUTIONS -- POWERS AND OPERATIONS (Amends outdated provisions of the banking statutes and the home loan protection act, add consumer protections, including minimum capital requirements and limits on investments.)",Mar 22 2023,04/25/2023 Committee Recommended Measure Be Held For Further Study,Apr 25 2023,https://openstates.org/ri/bills/2023/SB696/,Roger A. Picard,,http://webserver.rilegislature.gov/BillText/BillText23/SenateText23/S0696.pdf,3e9751e7ec1d2ece51c1b9ca03981656bafe67df
AB 1229,CA,Unincorporated associatio...,Unincorporated associations: decentralized nonprofit associations.,Feb 16 2023,From Committee: Do Pass And Re-Refer To Com. On Jud. (Ayes 10. Noes 1.) (April 24). Re-Referred To Com. On Jud.,Apr 25 2023,https://openstates.org/ca/bills/20232024/AB1229/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202320240AB1229&version=20230AB122998AMD,af631bc666b865120a34ec9d987897777805ff12
SB 5187,WA,Making 2023-2025 fiscal b...,Making 2023-2025 fiscal biennium operating appropriations.,Jan 06 2023,Delivered To Governor. (View Bill As Passed Legislature),Apr 24 2023,https://openstates.org/wa/bills/2023-2024/SB5187/,Christine Rolfes,June Robinson; Joe Nguyen,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/Senate%20Bills/5187.htm,45db96a51fd6e2be197ddcc351575ea0d927c65a
AB 1336,CA,Nonfungible token marketp...,Nonfungible token marketplaces.,Feb 16 2023,"In Committee: Set, First Hearing. Hearing Canceled At The Request Of Author.",Apr 21 2023,https://openstates.org/ca/bills/20232024/AB1336/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202320240AB1336&version=20230AB133698AMD,912dd09d76c60696331191c6ff3a091276f24c65
HB 764,MO,Establishes provisions re...,Establishes provisions relating to digital asset mining and virtual currencies,Jan 11 2023,Reported Do Pass (H) - Ayes: 7 Noes: 3 Present: 0,Apr 20 2023,https://openstates.org/mo/bills/2023/HB764/,Phil Christofanelli,,http://www.house.mo.gov/billtracking/bills231/hlrbillspdf/1719H.01I.pdf,d635470327e2bfee9b0c1172e4334e671876d47b
SB 396,NV,Imposes a tax on the reta...,Imposes a tax on the retail sale of certain digital products. (BDR 32-6),Mar 27 2023,Read Second Time. Taken From General File. Re-Referred To Committee On Finance. Exemption Effective. To Committee.,Apr 17 2023,https://openstates.org/nv/bills/82/SB396/,,,https://www.leg.state.nv.us/Session/82nd2023/Bills/SB/SB396.pdf,aa055bdcb392724c6cda097c3888048a17a5f740
SB 376,NV,Requires the Department o...,Requires the Department of Business and Industry to conduct an interim study of the Regulatory Experimentation Program for Product Innovation and certain related matters. (BDR S-183),Mar 27 2023,"(Pursuant To Joint Standing Rule No. 14.3.1, No Further Action Allowed.)",Apr 15 2023,https://openstates.org/nv/bills/82/SB376/,,,https://www.leg.state.nv.us/Session/82nd2023/Bills/SB/SB376.pdf,06617fc014bbb580f1098b5128889e69e8fd67d5
SB 165,NV,Revises provisions relati...,Revises provisions relating to businesses engaged in the development of emerging technologies. (BDR 18-878),Feb 16 2023,"Notice Of Eligibility For Exemption.Read Second Time.Taken From General File. Re-Referred To Committee On Finance. To Committee.Exemption Effective.",Apr 13 2023,https://openstates.org/nv/bills/82/SB165/,,Fabian Doñate; Roberta Lange; Rochelle T. Nguyen,https://www.leg.state.nv.us/Session/82nd2023/Bills/SB/SB165.pdf,7548ad13abf52652f33262a33da6399b75a82925
SB 770,TX,Relating to the commingli...,Relating to the commingling of funds by digital asset service providers.,Feb 07 2023,Left Pending In Committee,Apr 13 2023,https://openstates.org/tx/bills/88/SB770/,Tan Parker,,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00770I.HTM,efcbd42646825fa7e0a7613e7761b42b00cb952c
HB 901,PA,An Act amending the act o...,"An Act amending the act of December 5, 1972 (P.L.1280, No.284), known as the Pennsylvania Securities Act of 1972, providing for digital assets and blockchain technology registration; and imposing penalties.",Apr 12 2023,Pn 0883 Referred To Commerce,Apr 12 2023,https://openstates.org/pa/bills/2023-2024/HB901/,Ben Waxman,Danilo Burgos; Maureen E. Madden; Jose Giral; Benjamin V. Sanchez; Tim Brennan; R. Lee James; Danielle Friel Otten; Emily Kinkead; Green,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0901&pn=0883,7618b5332eb647f6e6c0edaea01bf69c18f1c6a6
SB 1236,AZ,blockchain technology; ta...,blockchain technology; tax; fee; prohibition,Jan 26 2023,Vetoed By Governor,Apr 12 2023,https://openstates.org/az/bills/56th-1st-regular/SB1236/,Wendy Rogers,,https://apps.azleg.gov/BillStatus/GetDocumentPdf/505121,aad76e8fb99c47092657137f2074eab6ef38e14c
HB 5836,RI,AN ACT RELATING TO STATE ...,"AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT -- RHODE ISLAND ECONOMIC GROWTH BLOCKCHAIN ACT (Establishes an economic growth blockchain act, which would regulate virtual and digital assets, and establishes depository banks for these purposes.)",Mar 01 2023,04/05/2023 Committee Recommended Measure Be Held For Further Study,Apr 05 2023,https://openstates.org/ri/bills/2023/HB5836/,David J. Place,,http://webserver.rilegislature.gov/BillText/BillText23/HouseText23/H5836.pdf,9d702c6b03e2e455ab171aa481c26407d829a860
HB 5844,RI,AN ACT RELATING TO STATE ...,AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT -- UNIVERSAL REGULATORY SANDBOX ACT (Establishes a Regulatory Sandbox program designed to provide a depository for ideas in a regulatory approach.),Mar 01 2023,04/05/2023 Committee Recommended Measure Be Held For Further Study,Apr 05 2023,https://openstates.org/ri/bills/2023/HB5844/,George A. Nardone,,http://webserver.rilegislature.gov/BillText/BillText23/HouseText23/H5844.pdf,5771baf0c8f9e9420a3b10de322c36dd9184807f
HB 1140,WA,Making 2023-2025 fiscal b...,Making 2023-2025 fiscal biennium operating appropriations.,Jan 05 2023,Referred To Rules 2 Review.,Apr 03 2023,https://openstates.org/wa/bills/2023-2024/HB1140/,Timm Ormsby,Mia Gregerson; Nicole Macri; Debra Lekanoff; Steve Bergquist,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/House%20Bills/1140.htm,c7b2879515d49e00b80f15408a540ea4f51f5244
A 6319,NY,Relates to data privacy p...,Relates to data privacy protection; establishes the privacy and security victims relief fund,Apr 03 2023,Referred To Science And Technology,Apr 03 2023,https://openstates.org/ny/bills/2023-2024/A6319/,Michaelle C. Solages,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A6319&term=2023&Text=Y,f6fc1ae724c40a09af6a68ba17635a8f8d002d25
SB 788,IL,Regulation-Tech,Regulation-Tech,Feb 02 2023,Rule 3-9(A) / Re-Referred To Assignments,Mar 31 2023,https://openstates.org/il/bills/103rd/SB788/,Don Harmon,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB0788&GA=103&SessionId=112&DocTypeId=SB&LegID=144864&DocNum=788&GAID=17&SpecSess=&Session=&print=true,8e10b2cf8c25650645e8341e50a5d792143a1810
SB 790,IL,Regulation-Tech,Regulation-Tech,Feb 02 2023,Rule 3-9(A) / Re-Referred To Assignments,Mar 31 2023,https://openstates.org/il/bills/103rd/SB790/,Don Harmon,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB0790&GA=103&SessionId=112&DocTypeId=SB&LegID=144873&DocNum=790&GAID=17&SpecSess=&Session=&print=true,f2492310fc0de49b0d2bc36b9ac03df2dfe07407
SB 787,IL,Regulation-Tech,Regulation-Tech,Feb 02 2023,Rule 3-9(A) / Re-Referred To Assignments,Mar 31 2023,https://openstates.org/il/bills/103rd/SB787/,Don Harmon,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB0787&GA=103&SessionId=112&DocTypeId=SB&LegID=144862&DocNum=787&GAID=17&SpecSess=&Session=&print=true,b1e9ab4ee646afc319e0e09a27ec396d25bc6cb6
SB 789,IL,Regulation-Tech,Regulation-Tech,Feb 02 2023,Rule 3-9(A) / Re-Referred To Assignments,Mar 31 2023,https://openstates.org/il/bills/103rd/SB789/,Don Harmon,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB0789&GA=103&SessionId=112&DocTypeId=SB&LegID=144870&DocNum=789&GAID=17&SpecSess=&Session=&print=true,d9e832dd9a7a616debeebbc1c7a1968488f27e43
SB 791,IL,Regulation-Tech,Regulation-Tech,Feb 02 2023,Rule 3-9(A) / Re-Referred To Assignments,Mar 31 2023,https://openstates.org/il/bills/103rd/SB791/,Don Harmon,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB0791&GA=103&SessionId=112&DocTypeId=SB&LegID=144876&DocNum=791&GAID=17&SpecSess=&Session=&print=true,875597916e907a7db52e6763dfab0059b6799e00
SF 540,IA,A bill for an act relatin...,"A bill for an act relating to commercial transactions, including control and transmission of electronic records and digital assets.",Mar 06 2023,Placed On Calendar Under Unfinished Business.,Mar 30 2023,https://openstates.org/ia/bills/2023-2024/SF540/,COMMITTEE ON JUDICIARY,,https://www.legis.iowa.gov/docs/publications/LGI/90/attachments/SF540.html,cffdb7259ee9bfaef1994070bd920bae1e486ee5
HB 5209,TX,Relating to a temporary d...,Relating to a temporary decrease in the rates of state sales and use taxes applicable to certain sales the payment for which is made using a decentralized network in the blockchain.,Mar 10 2023,Referred To Ways & Means,Mar 24 2023,https://openstates.org/tx/bills/88/HB5209/,Salman Bhojani,,http://capitol.texas.gov/tlodocs/88R/billtext/html/HB05209I.HTM,1df4af88e76d1dca8aee9ae5b5ab0fefe7ccacc8
SB 3,UT,Appropriations Adjustment...,Appropriations Adjustments,Mar 03 2023,Governor Line Item Veto,Mar 23 2023,https://openstates.org/ut/bills/2023/SB3/,Jerry W. Stevenson,Val L. Peterson,https://le.utah.gov/~2023/bills/sbillenr/SB0003.pdf,75aa0308f04cc5a0968a789b8c76cea1419d1c07
HCR 89,TX,Expressing support for th...,Expressing support for the Bitcoin economy in Texas.,Mar 20 2023,Referred To State Affairs,Mar 22 2023,https://openstates.org/tx/bills/88/HCR89/,"Harris, Cody",,http://capitol.texas.gov/tlodocs/88R/billtext/html/HC00089I.HTM,2ba7c92765276a74a855fd3b4443a9a81880bf9a
AB 76,CA,Money laundering: blockch...,Money laundering: blockchain technology.,Dec 14 2022,"In Committee: Set, First Hearing. Referred To Appr. Suspense File.",Mar 22 2023,https://openstates.org/ca/bills/20232024/AB76/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202320240AB76&version=20230AB7698AMD,d25644403efd380e1c80b84a8f53e5acd8180345
PC 1565,PR,Para crear un Comité Ases...,"Para crear un Comité Asesor de la Asamblea Legislativa con la encomienda estudiar, analizar y presentar un plan específico para implementar los primeros proyectos piloto utilizando la tecnología Blockchain en el Estado Libre Asociado de Puerto Rico en ciento ochenta (180) días; para disponer cuál será su composición, poderes y funciones; y para otros fines relacionados.",Nov 07 2022,Quedó Pendiente De Acción Posterior En La Cámara,Mar 21 2023,https://openstates.org/pr/bills/2021-2024/PC1565/,Jesús Manuel Ortiz González,,https://sutra.oslpr.org/osl/SUTRA/anejos/143194/PC1565-entirillado.docx,2993e77a04e7984656a994861d40c34d657367c7
HB 5160,RI,AN ACT RELATING TO FINANC...,"AN ACT RELATING TO FINANCIAL INSTITUTIONS -- LICENSED ACTIVITIES -- LENDERS AND LOAN BROKERS -- CHECK CASHING (Repeals the provisions of the general laws allowing deferred deposit providers, also known as ""payday lenders."")",Jan 19 2023,03/21/2023 Committee Recommended Measure Be Held For Further Study,Mar 21 2023,https://openstates.org/ri/bills/2023/HB5160/,Kathleen A. Fogarty,,http://webserver.rilegislature.gov/BillText/BillText23/HouseText23/H5160.pdf,efcebd43676cee748b20090edb1fc1871c767aba
HB 556,UT,Legislative Committee Sta...,Legislative Committee Staff Requirements,Feb 23 2023,Governor Signed,Mar 20 2023,https://openstates.org/ut/bills/2023/HB556/,Ryan D. Wilcox,Kirk A. Cullimore,https://le.utah.gov/~2023/bills/hbillenr/HB0556.pdf,3d29e57cfcd69cf65c35a61f11b222e1acac0ac7
HB 216,UT,H.B. 216 Business and Cha...,H.B. 216 Business and Chancery Court Amendments,Jan 16 2023,Governor Signed,Mar 20 2023,https://openstates.org/ut/bills/2023/HB216/,Brady Brammer,Kirk A. Cullimore,https://le.utah.gov/~2023/bills/hbillenr/HB0216.pdf,044ed283926eeb53e566df0b0d6ca3feb0660e04
SF 127,WY,Wyoming Stable Token Act.,Wyoming Stable Token Act.,Jan 18 2023,Assigned Chapter Number 185,Mar 17 2023,https://openstates.org/wy/bills/2023/SF127/,BlockChain/Technology,,https://wyoleg.gov/2023/Amends/SF0127SS001.pdf,59afcf238fe812d482b5af66991dd70d87c21ad8
HB 5533,RI,AN ACT RELATING TO FINANC...,"AN ACT RELATING TO FINANCIAL INSTITUTIONS -- POWERS AND OPERATIONS (Amends outdated provisions of the banking statutes and the home loan protection act, adds consumer protections, including minimum capital requirements and limits on investments, for currency transmitters, including crypto currency..)",Feb 15 2023,03/17/2023 Committee Recommended Measure Be Held For Further Study,Mar 17 2023,https://openstates.org/ri/bills/2023/HB5533/,Grace Diaz,,http://webserver.rilegislature.gov/BillText/BillText23/HouseText23/H5533.pdf,fecef1b30a1bab5bc569ffbc9cb9195c4d09087f
SB 160,UT,S.B. 160 Blockchain Liabi...,S.B. 160 Blockchain Liability Amendments,Jan 31 2023,Governor Signed,Mar 17 2023,https://openstates.org/ut/bills/2023/SB160/,Kirk A. Cullimore,Jordan D. Teuscher,https://le.utah.gov/~2023/bills/sbillenr/SB0160.pdf,e5114851112474aefe5d09c3830f42ef4186b28f
HB 407,PA,An Act establishing a tas...,An Act establishing a task force on digital currency and the impact on widespread use of cryptocurrency and other forms of digital currencies in this Commonwealth.,Mar 14 2023,Pn 0375 Referred To Commerce,Mar 14 2023,https://openstates.org/pa/bills/2023-2024/HB407/,John T. Galloway,Michael H. Schlossberg; Ryan E. Mackenzie; Nick Pisciottano; Benjamin V. Sanchez; Danilo Burgos; Perry S. Warren; Napoleon J. Nelson,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=0407&pn=0375,21afe87deb686fc6b954980123425795ebdf2f5f
HB 470,UT,H.B. 470 Government Digit...,H.B. 470 Government Digital Verifiable Record Amendments,Feb 14 2023,Governor Signed,Mar 14 2023,https://openstates.org/ut/bills/2023/HB470/,"Cutler, Paul A.",Kirk A. Cullimore,https://le.utah.gov/~2023/bills/hbillenr/HB0470.pdf,b17fc7bcfa8adc29bfe478b295c21e15db85462e
HB 357,UT,H.B. 357 Decentralized Au...,H.B. 357 Decentralized Autonomous Organizations Amendments,Feb 01 2023,To Governor,Mar 13 2023,https://openstates.org/ut/bills/2023/HB357/,Jordan D. Teuscher,Kirk A. Cullimore,https://le.utah.gov/~2023/bills/hbillenr/HB0357.pdf,a230cba63791bde2dfe20adbb53640985de134de
HB 289,UT,H.B. 289 Blockchain Provi...,H.B. 289 Blockchain Provider Registration,Jan 24 2023,To Governor,Mar 13 2023,https://openstates.org/ut/bills/2023/HB289/,"Lee, Trevor",Kirk A. Cullimore,https://le.utah.gov/~2023/bills/hbillenr/HB0289.pdf,5a58fca23142d04a3421c118a5c16b4827d68ac1
SB 2603,MS,Digital Asset Mining Prot...,Digital Asset Mining Protection Act; create.,Jan 16 2023,Died On Calendar,Mar 10 2023,https://openstates.org/ms/bills/2023/SB2603/,,,http://billstatus.ls.state.ms.us/documents/2023/html/ham/SB2603_H_Amend_01_to_Amend_01.htm,389815fdb207a6a98e59803ba423cd6731d15fd4
LB 587,NE,Adopt the Insurance Regul...,Adopt the Insurance Regulatory Sandbox Act,Jan 17 2023,Placed On General File,Mar 09 2023,https://openstates.org/ne/bills/108/LB587/,Anna Wishart,Julie Slama,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB587.pdf,7ab69518a8aaa6283aab8680a6361c39d3f6d6d0
HCR 67,WV,Requesting a study of the...,Requesting a study of the effects of using blockchain technology on vital public and government data security.,Mar 07 2023,Communicated To Senate,Mar 09 2023,https://openstates.org/wv/bills/2023/HCR67/,Daniel Linville,Jarred Cannon,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=hcr67%20org.htm&yr=2023&sesstype=RS&i=67&houseorig=h&billtype=cr,c1ea00eb3be5627f77d2ba44891ebfc4f5ffe4a2
S 5564,NY,Relates to establishing a...,"Relates to establishing a task force to study and report on the potential implementation of blockchain technology in state record keeping, information storage, and service delivery",Mar 08 2023,Referred To Internet And Technology,Mar 08 2023,https://openstates.org/ny/bills/2023-2024/S5564/,Leroy Comrie,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S5564&term=2023&Text=Y,242bf9331ec3b787eab1005bb2838bc59ddc2699
SB 925,TX,Relating to the use of bl...,Relating to the use of blockchain technology for financing statements and related records filed with the secretary of state.,Feb 14 2023,Referred To Business & Commerce,Mar 03 2023,https://openstates.org/tx/bills/88/SB925/,Tan Parker,,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00925I.HTM,b677770621ff33219593fbd9b4871c06e98de614
HB 1784,VA,Securities; digital token...,"Securities; digital token exemption, decentralized autonomous organizations.",Jan 10 2023,Passed By Indefinitely In Commerce And Labor With Letter (12-Y 3-N),Feb 20 2023,https://openstates.org/va/bills/2023/HB1784/,Terry G. Kilgore,,https://lis.virginia.gov/cgi-bin/legp604.exe?231+ful+HB1784EH1,c6805a3fae42b76aa0e6f97f27f2e6e8cdc9452c
H 69,MA,An Act establishing a spe...,An Act establishing a special commission on blockchain and cryptocurrency,Feb 16 2023,Senate Concurred,Feb 16 2023,https://openstates.org/ma/bills/193rd/H69/,,"Kate Lipper-Garabedian; Josh S. Cutler; Vanna Howard; James Arciero; Thomas M. Stanley; Aaron L. Saunders; Edward R. Philips; Bradley H. Jones, Jr.; Susan L. Moran",https://malegislature.gov/Bills/193/H69.pdf,7dfd04a651ad2ef082056ffe9925c2f5225650ba
S 29,MA,An Act establishing a spe...,An Act establishing a special commission on blockchain and cryptocurrency,Feb 16 2023,House Concurred,Feb 16 2023,https://openstates.org/ma/bills/193rd/S29/,Barry R. Finegold,"Bradley H. Jones, Jr.; Susan L. Moran",https://malegislature.gov/Bills/193/S29.pdf,e9386a7f294669aa24461d7dda84dc347c4add79
SB 175,RI,AN ACT RELATING TO FINANC...,"AN ACT RELATING TO FINANCIAL INSTITUTIONS -- LICENSED ACTIVITIES -- LENDERS AND LOAN BROKERS -- CHECK CASHING (Repeals the provisions of the general laws allowing deferred deposit providers, also known as ""payday lenders."")",Feb 16 2023,"02/16/2023 Introduced, Referred To Senate Commerce",Feb 16 2023,https://openstates.org/ri/bills/2023/SB175/,Bridget Valverde,,http://webserver.rilegislature.gov/BillText/BillText23/SenateText23/S0175.pdf,e5d8e25a0c68342fbe5b880758ac41ba587afec9
HB 848,MS,Mississippi Digital Asset...,Mississippi Digital Asset Mining Act; create.,Jan 16 2023,Tabled,Feb 09 2023,https://openstates.org/ms/bills/2023/HB848/,Jody Steverson,Jackson,http://billstatus.ls.state.ms.us/documents/2023/html/HB/0800-0899/HB0848IN.htm,5a6a53c7c056c53490c015b874e28e468e7cf947
SB 1718,IL,Special Purpose Trust Com...,Special Purpose Trust Company,Feb 09 2023,Referred To Assignments,Feb 09 2023,https://openstates.org/il/bills/103rd/SB1718/,Laura Ellman,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB1718&GA=103&SessionId=112&DocTypeId=SB&LegID=146510&DocNum=1718&GAID=17&SpecSess=&Session=&print=true,0f4696ccf6b2412c51a527f18fe4d6b2ecb3b86f
SB 1887,IL,Digital Property Protect ...,Digital Property Protect Act,Feb 09 2023,Referred To Assignments,Feb 09 2023,https://openstates.org/il/bills/103rd/SB1887/,Robert Peters,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB1887&GA=103&SessionId=112&DocTypeId=SB&LegID=146730&DocNum=1887&GAID=17&SpecSess=&Session=&print=true,7e546a4f124e77a295528efe19575b5757dd9eb0
HB 356,NM,Technology Sandbox Act,Technology Sandbox Act,Feb 08 2023,Sent To House Judiciary Committee & House Appropriations & Finance Committee,Feb 08 2023,https://openstates.org/nm/bills/2023/HB356/,"Maestas, Antonio",,http://www.nmlegis.gov/Sessions/23%20Regular/bills/house/HB0356.HTML,0137dfaf49b8cae56804e667ecc581cfb3642aca
HB 1758,VA,"Regulator Innovation, Dep...","Regulator Innovation, Department of, and Virginia Regulatory Sandbox Program; created, report.",Jan 10 2023,Left In Appropriations,Feb 07 2023,https://openstates.org/va/bills/2023/HB1758/,Michael J. Webert,,https://lis.virginia.gov/cgi-bin/legp604.exe?231+ful+HB1758H1,9aac77be33d0f12bf1d7a7bbb92c37911bbca5e6
