Bill #,St,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
H 181,ID,COMMERCIAL TRANSACTIONS –...,COMMERCIAL TRANSACTIONS – Adds to existing law to provide for digital assets as property and to provide for the application of the Uniform Commercial Code to digital assets.,Feb 16 2021,Reported Printed And Referred To Business,Feb 17 2021,https://openstates.org/id/bills/2021/H181/,BUSINESS COMMITTEE,,https://legislature.idaho.gov/wp-content/uploads/sessioninfo/2021/legislation/H0181.pdf,d7dfdf9d0dbf9c87d39bc9c41bb7641137fc4b40
LB 648,NE,Adopt the Transactions in...,Adopt the Transactions in Digital Assets Act,Jan 20 2021,"Notice Of Hearing For February 23, 2021",Feb 10 2021,https://openstates.org/ne/bills/107/LB648/,Michael Flood,,https://nebraskalegislature.gov/FloorDocs/107/PDF/Intro/LB648.pdf,9e386d40294a07791fa1e13eef4dba78c9ae3d71
SB 178,KY,AN ACT relating to specia...,AN ACT relating to special purpose depository institutions.,Feb 04 2021,To Committee On Committees (S),Feb 04 2021,https://openstates.org/ky/bills/2021RS/SB178/,Brandon Smith,,https://apps.legislature.ky.gov/recorddocuments/bill/21RS/sb178/orig_bill.pdf,25fba560f1d9153e476a0a8a6c4c72776766bf51
SB 177,KY,AN ACT relating to digita...,AN ACT relating to digital assets.,Feb 04 2021,To Committee On Committees (S),Feb 04 2021,https://openstates.org/ky/bills/2021RS/SB177/,Brandon Smith,,https://apps.legislature.ky.gov/recorddocuments/bill/21RS/sb177/orig_bill.pdf,f95f398f5bc78d92dfea85bdd7008088d3fecd29
H 3495,SC,A Bill To Amend The Code ...,"A Bill To Amend The Code Of Laws Of South Carolina, 1976, So As To Enact The ""South Carolina Blockchain Industry Empowerment Act Of 2021"" In Order To Establish This State As An Incubator For Tech Industries Seeking To Develop Innovation By Using Blockchain Technology; By Adding Section 33-6-245 So As To Further Provide For The Construction Of Terms Relating To Stock And Certificate Tokens; To Amend Section 33-6-250, Relating To The Form And Content Of Corporate Stock Certificates, So As To Authorize Corporations To Issue Certificate Tokens In Lieu Of Stock Certificates; By Adding Chapter 47 To Title 34 So As To Provide That A Person Who Develops, Sells, Or Facilitates The Exchange Of An Open Blockchain Token Is Not Subject To Specified Securities And Money Transmission Laws, And To Provide Specified Verification Authority To The Attorney General And Banking Commissioner; By Adding Chapter 51 To Title 34 So As To Specify That Digital Assets Are Property Within The Uniform Commercial Code, To Authorize Security Interests In Digital Assets, To Establish An Opt-In Framework For Banks To Provide Custodial Services For Digital Asset Property As Custodians, To Specify Standards And Procedures For Custodial Services, To Clarify The Jurisdiction Of South Carolina Courts Relating To Digital Assets, To Authorize A Supervision Fee, And To Provide For Other Related Provisions To Digital Assets; To Amend Section 35-11-105, Relating To Definitions Under The South Carolina Anti-Money Laundering Act, So As To Define The Term ""Virtual Currency""; And To Amend Section 35-11-110, Relating To Matters And Transactions To Which The Anti-Money Laundering Act Does Not Apply, So As To Provide That The Act Does Not Apply To Buying, Selling, Issuing, Or Taking Custody Of Payment Instruments Or Stored Value In The Form Of Virtual Currency Or Receiving Virtual Currency For Transmission To A Location Within Or Outside The United States By Any Means.",Dec 16 2020,Member(S) Request Name Added As Sponsor: Hill,Feb 02 2021,https://openstates.org/sc/bills/2021-2022/H3495/,Jonathon D. Hill,,https://www.scstatehouse.gov/sess124_2021-2022/prever/3495_20201216.htm,4ad15ca1949009fe0bc82166eb9a6d217f618e60
SB 562,OK,Financial technology; cre...,Financial technology; creating Oklahoma Financial Technology Access and Improvement Act. Effective date.,Feb 01 2021,"Second Reading Referred To Business, Commerce And Tourism Committee Then To Appropriations Committee",Feb 02 2021,https://openstates.org/ok/bills/2022/SB562/,John Michael Montgomery,,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22 INT/SB/SB562 INT.PDF,3970b207b978a8ac1fa1cdbe51e1550a4bc17a42
SB 562,OK,Financial technology; cre...,Financial technology; creating Oklahoma Financial Technology Access and Improvement Act. Effective date.,Feb 01 2021,"Second Reading Referred To Business, Commerce And Tourism Committee Then To Appropriations Committee",Feb 02 2021,https://openstates.org/ok/bills/2021/SB562/,John Michael Montgomery,,http://webserver1.lsb.state.ok.us/cf_pdf/2021-22 INT/SB/SB562 INT.PDF,3970b207b978a8ac1fa1cdbe51e1550a4bc17a42
HB 622,HI,Relating To Blockchain Te...,Relating To Blockchain Technology.,Jan 22 2021,"Referred To Het, Fin, Referral Sheet 1",Jan 27 2021,https://openstates.org/hi/bills/2021 Regular Session/HB622/,Sonny Ganaden,,https://capitol.hawaii.gov/session2021/bills/HB622_.HTM,2ca5045b3668ada2994fce2ca1fdff357ab9ca36
H 3493,SC,A Joint Resolution To Cre...,A Joint Resolution To Create The South Carolina Blockchain Voting Verification Study Committee To Address Utilizing Blockchain Technology To Allow South Carolina Voters To Verify Their Votes.,Dec 16 2020,Member(S) Request Name Added As Sponsor: Alexander,Jan 27 2021,https://openstates.org/sc/bills/2021-2022/H3493/,Alexander,,https://www.scstatehouse.gov/sess124_2021-2022/prever/3493_20201216.htm,51085b8fb7d93c00e0e5616ffdc0f51945846500
HR 154,US,RESCUE Act for Black and ...,RESCUE Act for Black and Community Banks,Jan 04 2021,Introduced In House,Jan 04 2021,https://openstates.org/us/bills/117/HR154/,Bobby L. Rush,Andre Carson; Yvette D. Clarke; JAMES H. COOPER; Ro Khanna; Peter Welch; Barbara Lee; Ilhan Omar,https://www.govinfo.gov/content/pkg/BILLS-117hr154ih/pdf/BILLS-117hr154ih.pdf,457680d2aaf77b2c38db5471c2f9ac0dc8ae9a6f
HR 9067,US,Blockchain Technology Coo...,Blockchain Technology Coordination Act of 2020,Dec 31 2020,Introduced In House,Dec 31 2020,https://openstates.org/us/bills/116/HR9067/,Darren Soto,,https://www.govinfo.gov/content/pkg/BILLS-116hr9067ih/pdf/BILLS-116hr9067ih.pdf,2ed8c29a4df009d70af470a1e5fa6c441e4e20d9
