Bill #,State,St,Session,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
A 3862,New York,NY,2021 Regular Session,Relates to establishing a...,"Relates to establishing a task force to study and report on the potential implementation of blockchain technology in state record keeping, information storage, and service delivery",Jan 28 2021,Referred To Governmental Operations,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/A3862/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A3862&term=2021&Text=Y,581b2fbac0d99470e937cf56df64c9fd2b588cf4
A 3099,New York,NY,2021 Regular Session,Establishes the office of...,Establishes the office of financial resilience,Jan 22 2021,Referred To Banks,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/A3099/,Ron Kim,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A3099&term=2021&Text=Y,1a8b3a4eb89a37fb66e0e047096c6aade561f7df
S 5643,New York,NY,2021 Regular Session,Establishes the office of...,Establishes the office of financial resilience,Mar 15 2021,Referred To Banks,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/S5643/,Kevin S. Parker,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S5643&term=2021&Text=Y,c3f7f8bcbc9045e1abe059c06c7a13909187b576
A 4332,New York,NY,2021 Regular Session,Studies the use of blockc...,Studies the use of blockchain technology in elections,Feb 01 2021,Referred To Election Law,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/A4332/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A4332&term=2021&Text=Y,259e443ab2e67704847a48913674a50a4d7d067d
S 4195,New York,NY,2021 Regular Session,Relates to establishing a...,"Relates to establishing a task force to study and report on the potential implementation of blockchain technology in state record keeping, information storage, and service delivery",Feb 02 2021,Referred To Internet And Technology,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/S4195/,Leroy Comrie,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S4195&term=2021&Text=Y,096a264b9784a455f3d3e9e04c26fa22ef0538bb
A 3747,New York,NY,2021 Regular Session,Establishes a task force ...,Establishes a task force to study the potential designation of economic empowerment zones in the state of New York,Jan 28 2021,Referred To Economic Development,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/A3747/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A3747&term=2021&Text=Y,c0598b7980c4c7780a99d7298265d850a10aa85b
A 3587,New York,NY,2021 Regular Session,"Establishes the test, tru...","Establishes the test, trust, and certify act; repealer",Jan 28 2021,Referred To Health,Jan 05 2022,https://openstates.org/ny/bills/2021-2022/A3587/,Ron Kim,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A3587&term=2021&Text=Y,60300e28f8fec9db1d2c346d1325924b50715b54
SB 17,Kentucky,KY,2022 Regular Session,AN ACT relating to digita...,AN ACT relating to digital assets.,Nov 05 2021,To Banking & Insurance (S),Jan 04 2022,https://openstates.org/ky/bills/2022RS/SB17/,Brandon Smith,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/sb17/orig_bill.pdf,f0b4a12e5e259064fc2cbbd7fb54867450fba527
SB 16,Kentucky,KY,2022 Regular Session,AN ACT relating to specia...,AN ACT relating to special purpose depository institutions.,Nov 05 2021,To Banking & Insurance (S),Jan 04 2022,https://openstates.org/ky/bills/2022RS/SB16/,Brandon Smith,,https://apps.legislature.ky.gov/recorddocuments/bill/22RS/sb16/orig_bill.pdf,0894b1bc116ab0910a8761b33db0263f83aed23d
S 3132,New Jersey,NJ,2020-2021 Regular Session,"""Digital Asset and Blockc...","""Digital Asset and Blockchain Technology Act.""",Nov 05 2020,Substituted By A2891 (4r),Dec 20 2021,https://openstates.org/nj/bills/219/S3132/,"Thomas H. Kean, Jr.",Linda R. Greenstein,http://www.njleg.state.nj.us/2020/Bills/S3500/3132_R3.HTM,a1f0c90754b799edeb0ee5b955505e69e6d5ece9
A 2891,New Jersey,NJ,2020-2021 Regular Session,"""Digital Asset and Blockc...","""Digital Asset and Blockchain Technology Act.""",Feb 20 2020,"Received In The Assembly, 2nd Reading On Concurrence",Dec 20 2021,https://openstates.org/nj/bills/219/A2891/,"Thomas H. Kean, Jr.",Valerie Vainieri Huttle; Linda R. Greenstein; Gordon M. Johnson,http://www.njleg.state.nj.us/2020/Bills/A3000/2891_R4.HTM,9a4d1d8b2dcfbb52fb4e97c95e28195e0f34e39a
HB 622,Hawaii,HI,2022 Regular Session,Relating To Blockchain Te...,Relating To Blockchain Technology.,Jan 22 2021,Carried Over To 2022 Regular Session.,Dec 10 2021,https://openstates.org/hi/bills/2022 Regular Session/HB622/,Justin H. Woodson,,https://capitol.hawaii.gov/sessions/session2022/bills/HB622_.HTM,2ca5045b3668ada2994fce2ca1fdff357ab9ca36
S 4163,New Jersey,NJ,2020-2021 Regular Session,"""Virtual Currency and Blo...","""Virtual Currency and Blockchain Regulation Act.""",Nov 22 2021,"Introduced In The Senate, Referred To Senate Commerce Committee",Nov 22 2021,https://openstates.org/nj/bills/219/S4163/,Robert W. Singer,"O'Scanlon, Declan J.",http://www.njleg.state.nj.us/2020/Bills/S4500/4163_I1.HTM,ec9f1a419a0041c2ec1e4f2bbb97f3d77884bd5c
HR 6006,United States,US,117th Congress,Keep Innovation in Americ...,Keep Innovation in America Act,Nov 17 2021,Introduced In House,Nov 17 2021,https://openstates.org/us/bills/117/HR6006/,Patrick McHenry,Tim Ryan; Kevin Brady; Ro Khanna; Tom Emmer; Eric Swalwell; Warren Davidson; Darren Soto; Anthony Gonzalez; Ted Budd; Mike Bost; David Schweikert; Byron Donalds; Jake Auchincloss; J. French Hill; William R. Timmons; Bryan Steil; Gregory Murphy; Jackie Walorski; David P. Joyce,https://www.govinfo.gov/content/pkg/BILLS-117hr6006ih/pdf/BILLS-117hr6006ih.pdf,c618b628cbd1571ba70834bda8b9e946a09005cf
HR 5412,United States,US,117th Congress,Intelligence Authorizatio...,Intelligence Authorization Act for Fiscal Year 2022,Sep 29 2021,Reported (Amended) By The Committee On Intelligence. H. Rept. 117-156.,Oct 28 2021,https://openstates.org/us/bills/117/HR5412/,Adam B. Schiff,,https://www.govinfo.gov/content/pkg/BILLS-117hr5412rh/pdf/BILLS-117hr5412rh.pdf,3d342f2c3182d12093d0cade35f62c0f16214ebd
S 3076,United States,US,117th Congress,Ban Conflicted Trading at...,Ban Conflicted Trading at the Fed Act,Oct 26 2021,Introduced In Senate,Oct 26 2021,https://openstates.org/us/bills/117/S3076/,Sherrod Brown,Kirsten E. Gillibrand; Jeff Merkley; Raphael G. Warnock; Jon Ossoff,https://www.govinfo.gov/content/pkg/BILLS-117s3076is/pdf/BILLS-117s3076is.pdf,630eeb69d978da6b70f733668692c47037f9c734
HB 1888,Arkansas,AR,2021 Regular Session,Concerning The Control Of...,Concerning The Control Of Virtual Currency For Purposes Of The Uniform Commercial Code; And To Clarify The Rights Of Purchasers Who Obtain Control Of Virtual Currency For Purposes Of The Uniform Commercial Code.,Apr 07 2021,Died In House Committee At Sine Die Adjournment,Oct 15 2021,https://openstates.org/ar/bills/2021/HB1888/,Stephen Meeks,,ftp://www.arkleg.state.ar.us/Bills/2021R/Public/Searchable/HB1888.pdf,4708a0ec9ed28031d6ece152c17537e242e98744
HB 624,North Carolina,NC,2021-2022 Session,North Carolina Regulatory...,North Carolina Regulatory Sandbox Act.,Apr 20 2021,Signed By Gov. 10/15/2021,Oct 15 2021,https://openstates.org/nc/bills/2021/HB624/,Brandon Lofton,"John Szoka; Gale Adcock, FNP; Brian Farkas; Wesley Harris, PhD; Zack Hawkins; Rachel Hunt; Verla Insko; Michael H. Wray",https://www.ncleg.gov/Sessions/2021/Bills/House/PDF/H624v6.pdf,8694627bd96055889967d42b9ad5e7ef454589bb
