Bill #,State,St,Session,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
HR 8132,United States,US,116th Congress,American COMPETE Act,American COMPETE Act,Aug 28 2020,"Received In The Senate And Read Twice And Referred To The Committee On Commerce, Science, And Transportation.",Sep 30 2020,https://openstates.org/us/bills/116/HR8132/,Cathy McMorris Rodgers,"BOBBY L. RUSH; GREG WALDEN; Darren Soto; Richard Hudson; Robin L. Kelly; Robert E. Latta; Michael C. Burgess; FRED UPTON; Brett Guthrie; Larry Bucshon; Greg Gianforte; H. Morgan Griffith; Earl L. ""Buddy"" Carter",https://www.govinfo.gov/content/pkg/BILLS-116hr8132ih/pdf/BILLS-116hr8132ih.pdf,11b283e428640d8733a496ac8e0bde6dddc2214b
HR 8378,United States,US,116th Congress,Securities Clarity Act,Securities Clarity Act,Sep 24 2020,Introduced In House,Sep 24 2020,https://openstates.org/us/bills/116/HR8378/,Tom Emmer,K. Michael Conaway; Darren Soto; Ro Khanna,https://www.govinfo.gov/content/pkg/BILLS-116hr8378ih/pdf/BILLS-116hr8378ih.pdf,7820892a083eea617c95b4fbf7199fb2d577cb55
HR 8352,United States,US,116th Congress,Jobs and Justice Act of 2...,Jobs and Justice Act of 2020,Sep 23 2020,Referred To The Subcommittee On Aviation.,Sep 24 2020,https://openstates.org/us/bills/116/HR8352/,Karen Bass,"ELEANOR HOLMES NORTON; MAXINE WATERS; SANFORD D. BISHOP; JAMES E. CLYBURN; ALCEE L. HASTINGS; EDDIE BERNICE JOHNSON; BOBBY L. RUSH; Robert C. ""Bobby"" Scott; BENNIE THOMPSON; SHEILA JACKSON LEE; DANNY K. DAVIS; GREGORY W. MEEKS; BARBARA LEE; WM. LACY CLAY; David Scott; G. K. Butterfield; Emanuel Cleaver; Al Green; Gwen Moore; Yvette D. Clarke; Henry C. ""Hank"" Johnson; Andre Carson; Marcia L. Fudge; Cedric L. Richmond; Terri A. Sewell; Frederica S. Wilson; Donald M. Payne; Joyce Beatty; Hakeem S. Jeffries; Marc A. Veasey; Robin L. Kelly; Alma S. Adams; Brenda L. Lawrence; Stacey E. Plaskett; Bonnie Watson Coleman; Dwight Evans; Lisa Blunt Rochester; Anthony G. Brown; Val Butler Demings; Al Lawson; A. Donald McEachin; Steven Horsford; Joe Neguse; Ilhan Omar; Ayanna Pressley; KWEISI MFUME",https://www.govinfo.gov/content/pkg/BILLS-116hr8352ih/pdf/BILLS-116hr8352ih.pdf,161038103780c29b662e3c3a33d620c4c7a013f0
HR 7592,United States,US,116th Congress,STIFLE Act of 2020,STIFLE Act of 2020,Jul 13 2020,"Received In The Senate And Read Twice And Referred To The Committee On Banking, Housing, And Urban Affairs.",Sep 22 2020,https://openstates.org/us/bills/116/HR7592/,Ben McAdams,Anthony Gonzalez,https://www.govinfo.gov/content/pkg/BILLS-116hr7592ih/pdf/BILLS-116hr7592ih.pdf,4fdb546ea114d3c4db85dd87b5ad5ec3e2421ecd
S 4588,United States,US,116th Congress,Small Business Broadband ...,Small Business Broadband and Emerging Information Technology Enhancement Act of 2020,Sep 16 2020,Introduced In Senate,Sep 16 2020,https://openstates.org/us/bills/116/S4588/,Jeanne Shaheen,John Neely Kennedy; Joni Ernst; Mazie K. Hirono; James E. Risch; EDWARD J. MARKEY,https://www.govinfo.gov/content/pkg/BILLS-116s4588is/pdf/BILLS-116s4588is.pdf,ca6cf8890b409c60a6d83bcd5d33887ce4d648cd
HR 8153,United States,US,116th Congress,Blockchain Innovation Act,Blockchain Innovation Act,Sep 01 2020,Introduced In House,Sep 01 2020,https://openstates.org/us/bills/116/HR8153/,Darren Soto,Brett Guthrie; Doris O. Matsui,https://www.govinfo.gov/content/pkg/BILLS-116hr8153ih/pdf/BILLS-116hr8153ih.pdf,99702048b6a10e6b9f19cfcfa0ade7df6b6acfc2
S 200,Massachusetts,MA,191st Legislature (2019-2020),An Act relative to blockc...,An Act relative to blockchain and cryptocurrencies,Jan 22 2019,"Bill Reported Favorably By Committee And Referred To The Committee On Rules Of The Two Branches, Acting Concurrently",Aug 10 2020,https://openstates.org/ma/bills/191st/S200/,Cynthia Stone Creem,Cynthia Stone Creem; Tommy Vitolo; Eric P. Lesser,https://malegislature.gov/Bills/191/S200.pdf,24e251c17d70191d9ea73f38e9fd4d5dc4aa9faa
S 8887,New York,NY,2019 Regular Session,Relates to establishing a...,"Relates to establishing a task force to study and report on the potential implementation of blockchain technology in state record keeping, information storage, and service delivery",Aug 07 2020,Referred To Rules,Aug 07 2020,https://openstates.org/ny/bills/2019-2020/S8887/,COMRIE,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S8887&term=2019&Text=Y,fb333dd592b5ac30597575ad17dc25b44e4c8bb8
S 2874,Massachusetts,MA,191st Legislature (2019-2020),Amendment S.2874,Amendment S.2874,Jul 29 2020,See H4887,Jul 29 2020,https://openstates.org/ma/bills/191st/S2874/,,Michael J. Rodrigues,https://malegislature.gov/Bills/191/S2874.pdf,7342ca72dc8ba1e738999d3c36eb8cf029f43e05
S 2842,Massachusetts,MA,191st Legislature (2019-2020),An Act enabling partnersh...,An Act enabling partnerships for growth,Jul 27 2020,Order Relative To Subject Matter Adopted,Jul 27 2020,https://openstates.org/ma/bills/191st/S2842/,Michael J. Rodrigues,Michael J. Rodrigues,https://malegislature.gov/Bills/191/S2842.pdf,afce23a688a3bb31f16761d5d4cdcae5318f1b17
H 4854,Massachusetts,MA,191st Legislature (2019-2020),An Act enabling partnersh...,An Act enabling partnerships for growth,Jul 15 2020,"New Draft Substituted, See H4879",Jul 24 2020,https://openstates.org/ma/bills/191st/H4854/,Joint Committee on Economic Development and Emerging Technologies,Charles D. Baker,https://malegislature.gov/Bills/191/H4854.pdf,fd8fa5d810f032ed1873c308d9214b695995289c
H 4874,Massachusetts,MA,191st Legislature (2019-2020),An Act enabling partnersh...,An Act enabling partnerships for growth,Jul 23 2020,Rejected,Jul 24 2020,https://openstates.org/ma/bills/191st/H4874/,"House Committee on Bonding, Capital Expenditures and State Assets",Joint Committee on Economic Development and Emerging Technologies; Charles D. Baker,https://malegislature.gov/Bills/191/H4874.pdf,f404683537b178b2416690e13fa7c6d51dc8806f
HR 7753,United States,US,116th Congress,Global Investment in Amer...,Global Investment in American Jobs Act of 2020,Jul 23 2020,Introduced In House,Jul 23 2020,https://openstates.org/us/bills/116/HR7753/,Cathy McMorris Rodgers,BOBBY L. RUSH; ANNA G. ESHOO; Kathleen M. Rice; Mikie Sherrill; Kendra S. Horn; Josh Gottheimer,https://www.govinfo.gov/content/pkg/BILLS-116hr7753ih/pdf/BILLS-116hr7753ih.pdf,071593ef149f515844f0ac33c9ed88c136daff66
J 3249,New York,NY,2019 Regular Session,Honoring Victoria Tiranno...,Honoring Victoria Tiranno upon the occasion of her designation as recipient of the 2020 Chancellor's Award for Student Excellence,Jul 10 2020,Adopted,Jul 22 2020,https://openstates.org/ny/bills/2019-2020/J3249/,BRESLIN,,http://assembly.state.ny.us/leg/?sh=printbill&bn=J3249&term=2019&Text=Y,773cd015096f2f787cb6df24f4482d4ca79b9c5c
H 4529,Massachusetts,MA,191st Legislature (2019-2020),An Act enabling partnersh...,An Act enabling partnerships for growth,Mar 05 2020,"Accompanied A New Draft, See H4854",Jul 15 2020,https://openstates.org/ma/bills/191st/H4529/,Charles D. Baker,,https://malegislature.gov/Bills/191/H4529.pdf,e6705238ad75cd8eb9e2d8f751dac2c5c56572dd
HB 4418,Illinois,IL,101st Regular Session,Elect Cd-Blockchain Techn...,Elect Cd-Blockchain Technology,Jan 30 2020,Rule 19(B) / Re-Referred To Rules Committee,Jun 23 2020,https://openstates.org/il/bills/101st/HB4418/,John Connor,,http://ilga.gov/legislation/fulltext.asp?DocName=10100HB4418&GA=101&SessionId=108&DocTypeId=HB&LegID=123782&DocNum=4418&GAID=15&SpecSess=&Session=&print=true,0187d0486e82f71ea9b0a1092e8b8861859de8f6
HR 249,Tennessee,TN,111th Regular Session (2019-2020),"General Assembly, Directe...","General Assembly, Directed Studies - Directs the Tennessee Department of Financial Institutions to conduct a study relative to the application of blockchain and related technology in the financial services sector and to recommend any changes to the laws and rules of this State that impact the application of those technologies in this State. -",Mar 03 2020,Taken Off Notice For Cal. In Delayed Bill Committee,Jun 01 2020,https://openstates.org/tn/bills/111/HR249/,Powers,,http://www.capitol.tn.gov/Bills/111/Bill/HR0249.pdf,d0c97d69b962d5c3589b2ee07550c9d919ad38aa
HB 20-1072,Colorado,CO,2020 Regular Session,Study Emerging Technologi...,Study Emerging Technologies For Water Management,Jan 08 2020,Senate Committee On Agriculture & Natural Resources Postpone Indefinitely,May 27 2020,https://openstates.org/co/bills/2020A/HB20-1072/,Jeff Bridges,,http://leg.colorado.gov/sites/default/files/2020a_hb1072_s_agr_001.pdf,c93798b4d8b403122b74d67ee5db3cb293d8189d
SB 1226,Arizona,AZ,54th Legislature,revised uniform law; nota...,revised uniform law; notarial act,Jan 23 2020,Dp,May 21 2020,https://openstates.org/az/bills/54th-2nd-regular/SB1226/,Kate Brophy McGee,Rick Gray; Vince Leach; Frank Pratt; John Kavanagh,https://www.azleg.gov/legtext/54leg/2R/proposed/S.1226UGENTI-RITA.DOCX.htm,21ff9a08bffacb00c5e999bcb33cfe64e90915fb
HR 6938,United States,US,116th Congress,Advancing Blockchain Act,Advancing Blockchain Act,May 19 2020,Introduced In House,May 19 2020,https://openstates.org/us/bills/116/HR6938/,Brett Guthrie,Bill Flores; John Joyce,https://www.govinfo.gov/content/pkg/BILLS-116hr6938ih/pdf/BILLS-116hr6938ih.pdf,41c3325e97b50bfe98616cac5f0763c8d6d417cd
A 10462,New York,NY,2019 Regular Session,"Establishes the test, tru...","Establishes the test, trust, and certify act",May 18 2020,Referred To Health,May 18 2020,https://openstates.org/ny/bills/2019-2020/A10462/,Rules Committee,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A10462&term=2019&Text=Y,249a50bc61db7155d3c80d01771dba2b9645c270
HB 560,Ohio,OH,133rd Legislature (2019-2020),Modify the law governing ...,Modify the law governing elections,Mar 23 2020,Refer To Committee,May 05 2020,https://openstates.org/oh/bills/133/HB560/,Beth Liston,"Brigid Kelly; Jessica Miranda; Juanita Brent; David Leland; Michael Sheehy; Casey Weinstein; Thomas West; Tavia Galonski; C. Russo; Janine Boyd; Jeffrey Crossman; Michael O'Brien; Lisa Sobecki; Kent Smith, K.; Erica Crawley; Mary Lightbody; Gil Blair; Randi Clites",https://search-prod.lis.state.oh.us/solarapi/v1/general_assembly_133/bills/hb560/IN/00?format=pdf,928662917b776d8c0e49c22a676c314ddc1a41ec
SB 55,Kentucky,KY,2020 Regular Session,AN ACT relating to blockc...,AN ACT relating to blockchain technology.,Dec 11 2019,Signed By Governor (Acts Ch. 108),Apr 24 2020,https://openstates.org/ky/bills/2020RS/SB55/,,,https://apps.legislature.ky.gov/recorddocuments/bill/20RS/sb55/orig_bill.pdf,8e969c31e0b6347dcfd47ed2a107283a9b57a948
HR 6607,United States,US,116th Congress,Strategic National Stockp...,Strategic National Stockpile Enhancement and Transparency Act,Apr 23 2020,Introduced In House,Apr 23 2020,https://openstates.org/us/bills/116/HR6607/,Stephen F. Lynch,Darren Soto; SHEILA JACKSON LEE; Michael F. Q. San Nicolas; Jahana Hayes,https://www.govinfo.gov/content/pkg/BILLS-116hr6607ih/pdf/BILLS-116hr6607ih.pdf,f3dd0c5e4fd341764ce589d7db51bb14bdb8cee7
HB 4621,West Virginia,WV,2020 Regular Session,West Virginia FinTech Reg...,West Virginia FinTech Regulatory Sandbox Act,Jan 31 2020,"Chapter 35, Acts, Regular Session, 2020",Apr 15 2020,https://openstates.org/wv/bills/2020/HB4621/,Moore Capito,Daryl Cowles; Espinosa; Shott; Queen,http://www.legis.state.wv.us/legisdocs/chamber/2020/RS/com_amends/HB4621 S ECD AM _1 adopted.htm,22c0844c7ee510ee454531042424e687eebd0b88
SB 1792,Oklahoma,OK,2020 Regular Session,Financial technology; cre...,Financial technology; creating Oklahoma Financial Technology Access and Improvement Act. Effective date.,Feb 03 2020,"Withdrawn From Business And Commerce, Direct To Calendar",Apr 06 2020,https://openstates.org/ok/bills/2020/SB1792/,Mike Osburn,,http://webserver1.lsb.state.ok.us/cf_pdf/2019-20 ENGR/SB/SB1792 ENGR.PDF,98600c45110474705415c0aa81c616008b37e85e
SB 6065,Washington,WA,2019-2020 Regular Session,Establishing the Washingt...,Establishing the Washington blockchain work group.,Dec 11 2019,Governor Vetoed.,Apr 03 2020,https://openstates.org/wa/bills/2019-2020/SB6065/,Brown,"Bob Hasegawa; Patty Kuderer; Joe Nguyen; Christine Rolfes; Shelly Short; Wilson, L.; Mona Das; Lisa Wellman",http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/Senate%20Bills/6065.htm,3468ba1f5b8f01364750be01b9dc461f74fe2627
S.B. 72,Utah,UT,2020 General Session,Revisor's Technical Corre...,Revisor's Technical Corrections to Utah Code,Jan 24 2020,Governor Signed,Mar 30 2020,https://openstates.org/ut/bills/2020/S.B.72/,"Vickers, Evan J.","Gibson, Francis D.",https://le.utah.gov/~2020/bills/sbillenr/SB0072.pdf,54f997772c0a5faf9f23d2cb25e8951fc2f2755f
H.B. 402,Utah,UT,2020 General Session,H.B. 402 Regulatory Waive...,H.B. 402 Regulatory Waiver Process,Feb 24 2020,Governor Signed,Mar 24 2020,https://openstates.org/ut/bills/2020/H.B.402/,"Robertson, Adam","Fillmore, Lincoln",https://le.utah.gov/~2020/bills/hbillenr/HB0402.pdf,b24f7c8545d14f4c8a8549d277d8e7720d0146e6
SB 6028,Washington,WA,2019-2020 Regular Session,Adopting the uniform elec...,"Adopting the uniform electronic transactions act and aligning statutory provisions relating to signatures, declarations, and documents.",Dec 02 2019,Effective Date 6/11/2020.,Mar 18 2020,https://openstates.org/wa/bills/2019-2020/SB6028/,Jamie Pedersen,"Mike Padden; Manka Dhingra; Jeff Holy; Patty Kuderer; Wilson, C.",http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/Senate%20Bills/6028.htm,e45ae68e9d2f8c189dc653a55afd2f0f524797e8
HB 2594,Hawaii,HI,2020 Regular Session,Relating To Blockchain Te...,Relating To Blockchain Technology.,Jan 23 2020,The Hearing On This Measure Has Been Cancelled Until Further Notice.,Mar 16 2020,https://openstates.org/hi/bills/2020 Regular Session/HB2594/,TAKUMI,,https://www.capitol.hawaii.gov/session2020/bills/HB2594_.HTM,69996605f882e5428bc3bb7d83599a84a1c6451f
SB 113,New Mexico,NM,2020 Regular Session,Blockchain Technology Tas...,Blockchain Technology Task Force,Jan 15 2020,Action Postponed Indefinitely,Mar 16 2020,https://openstates.org/nm/bills/2020/SB113/,"Stefanics, Elizabeth ""Liz""",,http://www.nmlegis.gov/Sessions/20%20Regular/bills/senate/SB0113.HTML,892f0cdd92e5cd41222320e772ef384073a7e486
SJM 9,New Mexico,NM,2020 Regular Session,Blockchain Technology Tas...,Blockchain Technology Task Force,Jan 29 2020,Action Postponed Indefinitely,Mar 16 2020,https://openstates.org/nm/bills/2020/SJM9/,"Ortiz y Pino, Gerald",,http://www.nmlegis.gov/Sessions/20%20Regular/Amendments_In_Context/SJM009.pdf,caac1bd660174a6e79f5ddd0139dcb2a22ee06e7
SB 1404,Florida,FL,2020 Regular Session,Financial Services,Financial Services,Jan 06 2020,Died On Calendar,Mar 14 2020,https://openstates.org/fl/bills/2020/SB1404/,Perry,,http://flsenate.gov/Session/Bill/2020/1404/BillText/c2/HTML,c9f6723a12dbab9e327e00acf338a2aea017b06b
HB 27,Wyoming,WY,2020 General Session,Select committee on block...,"Select committee on blockchain, technology and innovation.",Dec 17 2019,Assigned Chapter Number 97,Mar 13 2020,https://openstates.org/wy/bills/2020/HB27/,Corporations,,http://wyoleg.gov/2020/Amends/HB0027SS001.pdf,0fdf75a09e748bbad86ae693fde457901730b260
H.B. 292,Utah,UT,2020 General Session,Internet Voting Study,Internet Voting Study,Feb 07 2020,Filed,Mar 12 2020,https://openstates.org/ut/bills/2020/H.B.292/,"McKell, Michael K.","Hemmert, Daniel",https://le.utah.gov/~2020/bills/hbillint/HB0292.pdf,807f82bf94fecf2c50caf58b41effcad9565dc0b
SB 2777,Rhode Island,RI,2020 Regular Session,AN ACT RELATING TO STATE ...,"AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT -- RHODE ISLAND ECONOMIC GROWTH BLOCKCHAIN ACT (Establishes an economic growth blockchain act, set regulations for the sale of hemp, regulate virtual and digital assets and establish depository banks for these purposes.)",Mar 12 2020,"03/12/2020 Introduced, Referred To Senate Commerce",Mar 12 2020,https://openstates.org/ri/bills/2020/SB2777/,James A. Seveney,,http://webserver.rilin.state.ri.us/BillText/BillText20/SenateText20/S2777.pdf,f89ab72634e4bdb0477b5f154df0f4b704672a22
HB 7989,Rhode Island,RI,2020 Regular Session,AN ACT RELATING TO STATE ...,"AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT -- RHODE ISLAND ECONOMIC GROWTH BLOCKCHAIN ACT (Establishes an economic growth blockchain act, set regulations for the sale of hemp, regulate virtual and digital assets and establish depository banks for these purposes.)",Mar 11 2020,"03/11/2020 Introduced, Referred To House Corporations",Mar 11 2020,https://openstates.org/ri/bills/2020/HB7989/,Blake A. Filippi,,http://webserver.rilin.state.ri.us/BillText/BillText20/HouseText20/H7989.pdf,a76a34d2738c8672db9228efb0fbbefbc9d9b1ee
SB 2840,Tennessee,TN,111th Regular Session (2019-2020),Personal Property - As in...,"Personal Property - As introduced, establishes the legal nature of digital assets within existing law, including the Uniform Commercial Code, and classifies such assets into categories of intangible personal property. - Amends TCA Title 32; Title 34; Title 35; Title 39; Title 45; Title 47 and Title 66.",Feb 06 2020,Assigned To General Subcommittee Of Senate Commerce & Labor Committee,Mar 10 2020,https://openstates.org/tn/bills/111/SB2840/,Watson,,http://www.capitol.tn.gov/Bills/111/Bill/SB2840.pdf,753d2ad65a47aebe861c0ba806314fe225f2e0c4
S 1158,South Carolina,SC,2019-2020 Regular Session,A Senate Resolution To Ac...,A Senate Resolution To Acknowledge The Importance Of Emerging Blockchain Technology And To Call Upon The Residents Of South Carolina To Join In Encouraging The Promotion Of Blockchain Technology In Our State.,Mar 10 2020,Introduced And Adopted,Mar 10 2020,https://openstates.org/sc/bills/2019-2020/S1158/,Davis,,https://www.scstatehouse.gov/sess123_2019-2020/prever/1158_20200310.htm,5b61435e7f8ac5f2b73265c1c9ab37822593c9a7
HR 6154,United States,US,116th Congress,Crypto-Currency Act of 20...,Crypto-Currency Act of 2020,Mar 09 2020,Introduced In House,Mar 09 2020,https://openstates.org/us/bills/116/HR6154/,Paul A. Gosar,,https://www.govinfo.gov/content/pkg/BILLS-116hr6154ih/pdf/BILLS-116hr6154ih.pdf,b09331f6c5996643cce724d161a0b00405819603
SB 514,West Virginia,WV,2020 Regular Session,Creating WV FinTech Regul...,Creating WV FinTech Regulatory Sandbox Act,Jan 16 2020,To House Judiciary,Feb 26 2020,https://openstates.org/wv/bills/2020/SB514/,Eric Tarr,Robert H. Plymale,http://www.legis.state.wv.us/Bill_Status/bills_text.cfm?billdoc=SB514%20INTR.htm&yr=2020&sesstype=RS&i=514,b66e89a2e96e34ecf2e1763ad8c6e95e291b1ecd
HB 5536,Michigan,MI,2019-2020 Regular Session,Children; protection; the...,Children; protection; the Michigan penal code; amend to reflect amendments to the public health code. Amends secs. 135 & 157m of 1931 PA 328 (MCL 750.135 & 750.157m).  TIE BAR WITH: HB 5510'19,Feb 20 2020,Bill Electronically Reproduced 02/25/2020,Feb 25 2020,https://openstates.org/mi/bills/2019-2020/HB5536/,,John Reilly,http://legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2020-HIB-5536.htm,ccac839f692b175a412d2f455d184587723e706d
S 4142,New York,NY,2019 Regular Session,Relates to allowing signa...,Relates to allowing signatures secured through blockchain technology to be considered an electronic signature,Mar 01 2019,Referred To Governmental Operations,Feb 25 2020,https://openstates.org/ny/bills/2019-2020/S4142/,SAVINO,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S4142&term=2019&Text=Y,8cc5efc7e9f25256ebd49a4909bdc308a8a1767e
HB 5210,Connecticut,CT,2020 Regular Session,An Act Concerning Noncomp...,An Act Concerning Noncompete Agreements In The Blockchain Technology Industry.,Feb 20 2020,Public Hearing 0227,Feb 21 2020,https://openstates.org/ct/bills/2020/HB5210/,Commerce Committee,,https://www.cga.ct.gov/2020/TOB/H/PDF/2020HB-05210-R00-HB.PDF,5c33de8a3a6aef41f89d5e9019c8746e7da4e111
HB 43,Wyoming,WY,2020 General Session,Digital representation to...,Digital representation tokens.,Jan 09 2020,H Failed Introduction 2-57-1-0-0,Feb 11 2020,https://openstates.org/wy/bills/2020/HB43/,Corporations,,http://wyoleg.gov/2020/Introduced/HB0043.pdf,ba71b60655e9138e021ecc90148c0c4ef393a0a7
HJ 63,Virginia,VA,2020 Regular Session,Blockchain technology; jo...,Blockchain technology; joint subcommittee to study emergence & integration in the economy.,Jan 06 2020,Left In Rules,Feb 11 2020,https://openstates.org/va/bills/2020/HJ63/,Nick Rush,,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HJ63,8f41e18c4d2e24943d39b4ba552fa0dc296a5a3b
HJ 82,Virginia,VA,2020 Regular Session,Blockchain technology; VE...,"Blockchain technology; VEDPA to study the emergence, etc., in the economy.",Jan 07 2020,Left In Rules,Feb 11 2020,https://openstates.org/va/bills/2020/HJ82/,Hala S. Ayala,Dawn M. Adams; Lee J. Carter; Glenn R. Davis; Ibraheem S. Samirah,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HJ82,5df63f78094a1576ab84afa4b98ed94e3cfcd201
HJ 23,Virginia,VA,2020 Regular Session,Voter records/election re...,Voter records/election results; Dept. of Elections to study use of blockchain technology to protect.,Dec 27 2019,Left In Appropriations,Feb 11 2020,https://openstates.org/va/bills/2020/HJ23/,Hala S. Ayala,Dawn M. Adams; Wendy W. Gooditis; Ibraheem S. Samirah,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HJ23,e78cc277f296ca2e0eda3436e1ad536f5a1a221d
HJ 105,Virginia,VA,2020 Regular Session,Blockchain technology; jo...,Blockchain technology; joint subcommittee to study emergence & integration in the economy.,Jan 08 2020,Left In Rules,Feb 11 2020,https://openstates.org/va/bills/2020/HJ105/,Suhas Subramanyam,Sam Rasoul; Nick Rush,https://lis.virginia.gov/cgi-bin/legp604.exe?201+ful+HJ105,226b9b6278334e9d3edfeae6d3ce4242c34b13cb
SB 1430,Oklahoma,OK,2020 Regular Session,Blockchain technology; pl...,Blockchain technology; planning state-chartered institution; setting standards; requiring report. Effective date.,Feb 03 2020,"Second Reading Referred To Business, Commerce And Tourism",Feb 06 2020,https://openstates.org/ok/bills/2020/SB1430/,Nathan Dahm,,http://webserver1.lsb.state.ok.us/cf_pdf/2019-20 INT/SB/SB1430 INT.PDF,d0d5fc735a50b74ead158cb2b1407617b279cf78
SB 2170,Rhode Island,RI,2020 Regular Session,AN ACT RELATING TO FINANC...,"AN ACT RELATING TO FINANCIAL INSTITUTIONS -- SMALL LOAN LENDERS (Repeals the provisions of the general laws allowing deferred deposit providers, also known as ""payday lenders."")",Feb 04 2020,"02/04/2020 Introduced, Referred To Senate Commerce",Feb 04 2020,https://openstates.org/ri/bills/2020/SB2170/,Lombardi,,http://webserver.rilin.state.ri.us/BillText/BillText20/SenateText20/S2170.pdf,d109bd3dab8033f2c3ae8bdfe481420dd5913ff1
HR 875,Georgia,GA,2019-2020 Regular Session,House Study Committee on ...,House Study Committee on Financing Options for Cannabis-based Businesses; create,Dec 12 2019,House Second Readers,Jan 30 2020,https://openstates.org/ga/bills/2019_20/HR875/,Winfred Dukes,,http://www.legis.ga.gov/Legislation/20192020/187801.pdf,6cb49c48175de42ac9d7a893a2bc6a85eb3ecb8c
HB 2604,Washington,WA,2019-2020 Regular Session,Fostering economic growth...,Fostering economic growth in Washington by supporting a certain regulatory environment for blockchain and distributed ledger technology solutions.,Jan 16 2020,"Scheduled For Public Hearing In The House Committee On Innovation, Technology & Economic Development At 08:00 Am",Jan 29 2020,https://openstates.org/wa/bills/2019-2020/HB2604/,Jesse Young,Gael Tarleton; Smith; Vandana Slatter; Zack Hudgins,http://lawfilesext.leg.wa.gov/Biennium/2019-20/Htm/Bills/House%20Bills/2604.htm,4efc5cffdc81a7f0dd2160a5113c3a9dde245a60
H 4351,South Carolina,SC,2019-2020 Regular Session,A Bill To Amend The Code ...,"A Bill To Amend The Code Of Laws Of South Carolina, 1976, So As To Enact The ""South Carolina Blockchain Industry Empowerment Act Of 2019"" In Order To Establish This State As An Incubator For Tech Industries Seeking To Develop Innovation By Using Blockchain Technology; By Adding Section 33-6-245 So As To Further Provide For The Construction Of Terms Relating To Stock And Certificate Tokens; To Amend Section 33-6-250, Relating To The Form And Content Of Corporate Stock Certificates, So As To Authorize Corporations To Issue Certificate Tokens In Lieu Of Stock Certificates; By Adding Chapter 47 To Title 34 So As To Provide That A Person Who Develops, Sells, Or Facilitates The Exchange Of An Open Blockchain Token Is Not Subject To Specified Securities And Money Transmission Laws, And To Provide Specified Verification Authority To The Secretary Of State And Banking Commissioner; By Adding Chapter 49 To Title 34 So As To Create The Financial Technology Sandbox For The Testing Of Financial Products And Services In South Carolina; To Authorize Limited Waivers Of Specified Provisions Of Law Under Certain Conditions; To Establish Standards And Procedures For Sandbox Applications, Operations, And Supervision; To Authorize Reciprocity Agreements With Other Regulators; To Require Criminal History Background Checks; To Require The Creation Of Financial Technology Innovation Accounts To Be Used For Special Purposes; To Require A Consumer Protection Bond; And To Specify Standards For The Suspension And Revocation Of A Sandbox Authorization; By Adding Chapter 51 To Title 34 So As To Specify That Digital Assets Are Property Within The Uniform Commercial Code, To Authorize Security Interests In Digital Assets, To Establish An Opt-In Framework For Banks To Provide Custodial Services For Digital Asset Property As Custodians, To Specify Standards And Procedures For Custodial Services, To Clarify The Jurisdiction Of South Carolina Courts Relating To Digital Assets, To Authorize A Supervision Fee, And To Provide For Other Related Provisions To Digital Assets; To Amend Section 35-11-105, Relating To Definitions Under The South Carolina Anti-Money Laundering Act, So As To Define The Term ""Virtual Currency""; And To Amend Section 35-11-110, Relating To Matters And Transactions To Which The Anti-Money Laundering Act Does Not Apply, So As To Provide That The Act Does Not Apply To Buying, Selling, Issuing, Or Taking Custody Of Payment Instruments Or Stored Value In The Form Of Virtual Currency Or Receiving Virtual Currency For Transmission To A Location Within Or Outside The United States By Any Means.",Mar 28 2019,Member(S) Request Name Added As Sponsor: Jones,Jan 14 2020,https://openstates.org/sc/bills/2019-2020/H4351/,Stewart O. Jones,,https://www.scstatehouse.gov/sess123_2019-2020/prever/4351_20190328.htm,cae9e478e335b2b478414b9b283c2311384ea67c
A 1371,New York,NY,2019 Regular Session,Relates to establishing a...,"Relates to establishing a task force to study and report on the potential implementation of blockchain technology in state record keeping, information storage, and service delivery",Jan 15 2019,Referred To Governmental Operations,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/A1371/,VANEL,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A1371&term=2019&Text=Y,0b8a197c91805529946e8dfb87468dd0998767df
S 5060,New York,NY,2019 Regular Session,Establishes the office of...,Establishes the office of financial resilience,Apr 05 2019,Referred To Banks,Jan 08 2020,https://openstates.org/ny/bills/2019-2020/S5060/,PARKER,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S5060&term=2019&Text=Y,af038f3f8515e26d567beeb0704f19296e57f485
